restaurant_id,name,city,area,cuisines,restaurant_type,price_range,avg_cost_for_two,rating,votes,online_order,table_booking,delivery,listed_in,payment_mode,established_year,seating_capacity,famous_dish
1,The Grill,Nagpur,Dharampeth,"Pizza, Biryani",Cafe,Affordable (₹200-500),416,4.6,722,Yes,No,No,Dine-out,Card,2021,164,Biryani
2,Little Bar,Jaipur,C Scheme,"Cafe, Mediterranean",Cafe,Premium (₹1000-2000),1980,4.2,2797,Yes,Yes,Yes,Delivery,Cash,2017,34,Burger
3,Modern Restaurant,Chandigarh,Sector 43,"South Indian, Seafood",Bar & Restaurant,Budget (₹0-200),173,3.2,2972,No,Yes,No,Buffet,Card,2014,30,Sushi
4,New Restaurant,Hyderabad,Jubilee Hills,"Street Food, Thai",Quick Bites,Moderate (₹500-1000),773,3.1,594,Yes,Yes,No,Dine-out,All Modes,2017,79,Tacos
5,Grand Corner,Nagpur,Ramdaspeth,"South Indian, Pizza",Casual Dining,Moderate (₹500-1000),608,3.0,4656,No,No,Yes,Cafes,All Modes,2009,77,Paneer Tikka
6,Little Lounge,Hyderabad,Madhapur,"Mediterranean, Bengali",Dhaba,Moderate (₹500-1000),821,3.7,395,Yes,Yes,No,Cafes,Cash,2017,107,Dal Makhani
7,Classic Point,Ahmedabad,Bopal,"North Indian, Continental",Bar & Restaurant,Moderate (₹500-1000),997,3.5,3726,Yes,Yes,Yes,Pubs and bars,Cash,2014,173,Chole Bhature
8,Royal Corner,Lucknow,Indira Nagar,"Mughlai, Bakery",Bar & Restaurant,Budget (₹0-200),139,2.8,2983,Yes,No,Yes,Delivery,Cash,2020,27,Noodles
9,Royal Bar,Jaipur,Malviya Nagar,"Seafood, Bakery",Quick Bites,Moderate (₹500-1000),704,4.3,1657,No,Yes,No,Nightlife,All Modes,2021,125,Butter Chicken
10,Spice Corner,Hyderabad,Gachibowli,"North Indian, Bengali",Bar & Restaurant,Affordable (₹200-500),234,4.2,492,Yes,Yes,Yes,Delivery,Card,2013,181,Momos
11,Little Bites,Hyderabad,Hitech City,"Bakery, Bengali",Buffet,Affordable (₹200-500),416,2.7,3541,No,No,Yes,Delivery,Cash,2006,113,Tandoori
12,Golden Dhaba,Pune,Hinjewadi,"Fast Food, Bakery",Buffet,Affordable (₹200-500),481,3.6,627,No,Yes,Yes,Pubs and bars,Cash,2007,70,Paneer Tikka
13,Old Dhaba,Kolkata,Howrah,"Mexican, South Indian",Quick Bites,Premium (₹1000-2000),1980,4.7,3737,Yes,No,Yes,Desserts,All Modes,2009,58,Pizza
14,Modern Grill,Hyderabad,Banjara Hills,"Cafe, South Indian",Food Court,Budget (₹0-200),120,3.7,4360,Yes,No,Yes,Desserts,Card,2007,162,Butter Chicken
15,New Bistro,Nagpur,Ramdaspeth,"Bakery, Biryani",Bakery,Luxury (₹2000+),3068,3.5,4791,Yes,No,Yes,Dine-out,UPI,2012,77,Pasta
16,Old Corner,Bangalore,Jayanagar,"Chinese, North Indian",Buffet,Luxury (₹2000+),3000,3.0,2182,Yes,Yes,No,Nightlife,UPI,2010,122,Sushi
17,Modern Garden,Jaipur,Mansarovar,"Desserts, North Indian",Bar & Restaurant,Moderate (₹500-1000),579,2.8,886,Yes,Yes,Yes,Pubs and bars,Card,2015,62,Kebabs
18,Classic House,Nagpur,Manewada,"Pizza, South Indian",Fine Dining,Premium (₹1000-2000),1759,3.3,1081,Yes,Yes,Yes,Pubs and bars,All Modes,2022,12,Butter Chicken
19,Classic Kitchen,Delhi,Lajpat Nagar,"Thai, Bengali",Bar & Restaurant,Affordable (₹200-500),307,3.2,336,No,Yes,Yes,Delivery,UPI,2022,114,Dal Makhani
20,Urban Bites,Surat,Athwa,"Biryani, Mughlai",Quick Bites,Premium (₹1000-2000),1163,4.7,3382,Yes,Yes,No,Delivery,All Modes,2006,130,Dosa
21,Mumbai Restaurant,Hyderabad,Secunderabad,"Biryani, Pizza",Casual Dining,Affordable (₹200-500),460,4.6,2296,No,No,Yes,Nightlife,Cash,2008,76,Paneer Tikka
22,The Bistro,Lucknow,Rajajipuram,"Bengali, Mediterranean",Food Court,Moderate (₹500-1000),522,2.8,4733,No,No,No,Delivery,Card,2016,120,Butter Chicken
23,Modern Corner,Nagpur,Hingna,"Italian, Sushi",Bar & Restaurant,Moderate (₹500-1000),715,4.2,4551,No,No,Yes,Buffet,Card,2023,87,Pasta
24,Delhi Restaurant,Jaipur,MI Road,"Fast Food, Street Food",Bakery,Luxury (₹2000+),2695,3.6,1760,Yes,No,Yes,Buffet,Cash,2014,141,Kebabs
25,Spice Point,Nagpur,Hingna,"Biryani, Sushi",Cafe,Affordable (₹200-500),237,3.1,3902,Yes,Yes,Yes,Pubs and bars,Card,2017,136,Pasta
26,Grand Grill,Hyderabad,Hitech City,"North Indian, Continental",Dhaba,Affordable (₹200-500),262,3.6,4576,Yes,No,No,Buffet,UPI,2019,166,Sushi
27,Fresh Bites,Surat,Varachha,"Cafe, Street Food",Quick Bites,Premium (₹1000-2000),1641,4.5,2281,No,No,Yes,Nightlife,All Modes,2007,192,Pizza
28,Mumbai Corner,Hyderabad,Madhapur,"Cafe, Chinese",Quick Bites,Affordable (₹200-500),412,2.9,1762,Yes,No,No,Cafes,All Modes,2006,62,Sushi
29,Urban Garden,Kolkata,Dumdum,"Bakery, North Indian",Bakery,Premium (₹1000-2000),1752,3.2,3204,No,Yes,Yes,Desserts,Card,2020,66,Pizza
30,The Hub,Kolkata,Howrah,"Sushi, Mediterranean",Quick Bites,Premium (₹1000-2000),1027,2.6,3237,Yes,No,No,Buffet,All Modes,2009,128,Paneer Tikka
31,New Corner,Mumbai,Dadar,"Fast Food, Seafood",Food Court,Moderate (₹500-1000),883,3.1,680,No,No,Yes,Nightlife,Card,2007,176,Biryani
32,Golden Dhaba,Indore,Vijay Nagar,"North Indian, Mughlai",Cafe,Affordable (₹200-500),331,3.9,1795,No,No,Yes,Pubs and bars,Cash,2010,89,Butter Chicken
33,Urban Restaurant,Lucknow,Hazratganj,"Bakery, Mexican",Dhaba,Affordable (₹200-500),354,4.5,1999,Yes,No,No,Desserts,Cash,2023,20,Burger
34,Grand Corner,Jaipur,Jagatpura,"Chinese, Cafe",Food Court,Budget (₹0-200),181,3.5,2977,No,No,Yes,Dine-out,UPI,2022,133,Momos
35,Mumbai Point,Kolkata,Gariahat,"Biryani, Chinese",Delivery Only,Premium (₹1000-2000),1871,4.0,3114,Yes,No,No,Dine-out,All Modes,2011,0,Burger
36,Mumbai Restaurant,Indore,Scheme 54,"Bengali, Pizza",Bar & Restaurant,Budget (₹0-200),171,4.2,4012,Yes,Yes,Yes,Buffet,All Modes,2019,14,Butter Chicken
37,New Grill,Chennai,Velachery,"Biryani, Sushi",Bakery,Moderate (₹500-1000),859,3.3,4518,No,No,No,Nightlife,UPI,2012,40,Tandoori
38,Spice Grill,Hyderabad,Kukatpally,"Cafe, Mughlai",Cafe,Affordable (₹200-500),344,3.9,4307,No,No,No,Nightlife,Card,2016,55,Pizza
39,Delhi Kitchen,Mumbai,Juhu,"South Indian, Bakery",Delivery Only,Affordable (₹200-500),425,3.9,3855,No,Yes,Yes,Nightlife,All Modes,2008,0,Sushi
40,Old Bistro,Delhi,Pitampura,"Bakery, South Indian",Quick Bites,Affordable (₹200-500),315,2.8,3419,Yes,Yes,Yes,Cafes,All Modes,2014,160,Pasta
41,Modern Grill,Chennai,T Nagar,"Italian, Biryani",Cafe,Moderate (₹500-1000),709,2.9,624,Yes,Yes,Yes,Pubs and bars,All Modes,2014,18,Dosa
42,Little Point,Chennai,Mylapore,"Street Food, Chinese",Cafe,Moderate (₹500-1000),536,3.8,1230,Yes,No,Yes,Desserts,UPI,2023,83,Momos
43,Little Restaurant,Delhi,Vasant Kunj,"Mexican, Pizza",Bar & Restaurant,Luxury (₹2000+),2105,3.9,3549,No,No,Yes,Delivery,Card,2023,160,Biryani
44,Modern Kitchen,Indore,Scheme 54,"Mughlai, Desserts",Bar & Restaurant,Premium (₹1000-2000),1418,3.5,4038,Yes,Yes,No,Nightlife,Cash,2010,94,Pasta
45,Delhi Bar,Surat,Rander,"Mexican, Bakery",Casual Dining,Premium (₹1000-2000),1890,3.3,3321,Yes,No,Yes,Cafes,All Modes,2006,58,Chole Bhature
46,Grand House,Pune,Aundh,"South Indian, Biryani",Delivery Only,Luxury (₹2000+),4493,4.6,3980,Yes,No,Yes,Desserts,Card,2010,0,Pizza
47,Classic Hub,Jaipur,MI Road,"Chinese, Pizza",Fine Dining,Premium (₹1000-2000),1854,3.7,2400,Yes,No,Yes,Cafes,Card,2019,151,Paneer Tikka
48,Urban Lounge,Kolkata,Ballygunge,"Desserts, Continental",Fine Dining,Moderate (₹500-1000),928,3.1,31,No,No,No,Buffet,All Modes,2009,124,Chole Bhature
49,Mumbai Palace,Ahmedabad,Maninagar,"Cafe, Mexican",Buffet,Moderate (₹500-1000),522,3.9,1923,Yes,No,Yes,Buffet,All Modes,2017,179,Noodles
50,Old Kitchen,Chandigarh,Sector 35,"Continental, Cafe",Bakery,Moderate (₹500-1000),709,3.8,3753,Yes,No,Yes,Dine-out,Cash,2020,77,Burger
51,Grand Bistro,Lucknow,Chowk,"Sushi, Bakery",Dhaba,Moderate (₹500-1000),616,4.0,1933,No,No,Yes,Cafes,Cash,2008,123,Paneer Tikka
52,Urban Kitchen,Surat,Piplod,"South Indian, Thai",Casual Dining,Moderate (₹500-1000),849,2.8,4361,Yes,No,Yes,Dine-out,Card,2007,166,Sushi
53,Old Bites,Kolkata,Ballygunge,"Bakery, Continental",Cafe,Premium (₹1000-2000),1075,4.1,3821,Yes,No,Yes,Nightlife,UPI,2018,186,Pizza
54,Golden Hub,Ahmedabad,Bopal,"Seafood, Italian",Cafe,Premium (₹1000-2000),1008,4.9,2428,Yes,No,Yes,Desserts,Cash,2020,83,Noodles
55,Modern Garden,Indore,Bhanwarkuan,"Thai, Biryani",Cafe,Luxury (₹2000+),4647,4.3,1130,Yes,No,No,Delivery,UPI,2019,18,Dal Makhani
56,Spice Bites,Pune,Baner,"Burger, Thai",Dhaba,Affordable (₹200-500),456,4.6,3007,Yes,Yes,No,Nightlife,All Modes,2014,96,Noodles
57,Spice Cafe,Delhi,Vasant Kunj,"Biryani, Mediterranean",Bar & Restaurant,Moderate (₹500-1000),844,3.1,1022,Yes,No,Yes,Nightlife,All Modes,2016,37,Kebabs
58,The Lounge,Hyderabad,Secunderabad,"Cafe, Sushi",Bakery,Affordable (₹200-500),409,4.7,2485,Yes,No,Yes,Delivery,UPI,2020,39,Butter Chicken
59,New House,Hyderabad,Hitech City,"Thai, Bakery",Dhaba,Luxury (₹2000+),3145,2.7,4018,Yes,No,No,Delivery,UPI,2011,123,Momos
60,Spice Bar,Hyderabad,Kukatpally,"Thai, Bakery",Food Court,Budget (₹0-200),111,4.8,3735,No,No,Yes,Delivery,Cash,2015,72,Paneer Tikka
61,Spice Point,Indore,Bhanwarkuan,"Cafe, Fast Food",Bakery,Affordable (₹200-500),341,4.4,4892,Yes,No,Yes,Pubs and bars,UPI,2010,38,Kebabs
62,Royal Kitchen,Chandigarh,Sector 17,"Thai, Biryani",Bakery,Moderate (₹500-1000),881,2.6,3458,Yes,Yes,Yes,Cafes,UPI,2021,161,Butter Chicken
63,Modern Kitchen,Ahmedabad,Satellite,"Desserts, Burger",Buffet,Budget (₹0-200),162,3.5,894,Yes,No,Yes,Nightlife,Card,2007,42,Pizza
64,New Lounge,Lucknow,Alambagh,"Desserts, Burger",Buffet,Luxury (₹2000+),2935,2.8,4526,No,Yes,No,Cafes,UPI,2019,112,Pasta
65,Mumbai Hub,Surat,Vesu,"Sushi, Pizza",Food Court,Affordable (₹200-500),249,4.5,773,No,Yes,Yes,Desserts,Card,2022,25,Dal Makhani
66,Grand Bistro,Jaipur,Tonk Road,"Mediterranean, Thai",Dhaba,Budget (₹0-200),164,3.3,4744,Yes,No,Yes,Dine-out,Cash,2016,152,Burger
67,Modern Dhaba,Delhi,Dwarka,"Mediterranean, Bakery",Bakery,Luxury (₹2000+),3265,4.5,2200,Yes,No,No,Nightlife,UPI,2005,56,Sushi
68,Spice Cafe,Bangalore,Electronic City,"North Indian, Italian",Bar & Restaurant,Affordable (₹200-500),366,3.3,3041,No,No,Yes,Pubs and bars,Cash,2006,49,Paneer Tikka
69,Grand Bistro,Indore,Vijay Nagar,"Pizza, Seafood",Dhaba,Premium (₹1000-2000),1113,3.0,4207,No,No,Yes,Buffet,All Modes,2021,180,Pizza
70,New Lounge,Mumbai,Colaba,"South Indian, North Indian",Cafe,Moderate (₹500-1000),882,3.2,992,Yes,Yes,Yes,Dine-out,All Modes,2022,190,Dosa
71,Spice Hub,Jaipur,Tonk Road,"South Indian, Street Food",Casual Dining,Premium (₹1000-2000),1117,3.5,3323,Yes,No,No,Delivery,UPI,2010,168,Momos
72,Spice Hub,Chandigarh,Sector 43,"Italian, Pizza",Dhaba,Luxury (₹2000+),2688,3.4,2551,No,No,Yes,Delivery,Cash,2021,140,Dosa
73,Mumbai Grill,Kochi,Kaloor,"Continental, Pizza",Fine Dining,Affordable (₹200-500),452,3.9,627,Yes,Yes,Yes,Desserts,All Modes,2023,174,Kebabs
74,Fresh Bar,Lucknow,Alambagh,"Sushi, Continental",Buffet,Budget (₹0-200),175,3.2,2260,No,No,No,Nightlife,All Modes,2019,19,Biryani
75,Spice Bar,Pune,Viman Nagar,"Chinese, Cafe",Dhaba,Premium (₹1000-2000),1154,4.1,2643,Yes,No,No,Cafes,Cash,2015,192,Butter Chicken
76,The Dhaba,Jaipur,Malviya Nagar,"Street Food, Seafood",Bar & Restaurant,Luxury (₹2000+),2214,4.7,3183,Yes,No,Yes,Desserts,UPI,2007,94,Butter Chicken
77,Delhi Restaurant,Jaipur,Jagatpura,"Bengali, Continental",Food Court,Budget (₹0-200),116,4.8,3220,Yes,No,Yes,Buffet,UPI,2009,181,Tandoori
78,Grand Bar,Chandigarh,Sector 22,"Mediterranean, Cafe",Food Court,Budget (₹0-200),198,4.8,2809,Yes,No,Yes,Dine-out,Cash,2014,35,Chole Bhature
79,Grand Corner,Indore,Vijay Nagar,"Bengali, Continental",Bakery,Premium (₹1000-2000),1420,4.5,1366,Yes,Yes,Yes,Buffet,Card,2019,166,Pizza
80,Golden Palace,Indore,Bhawarkuan,"Biryani, Sushi",Buffet,Affordable (₹200-500),344,4.9,3792,Yes,No,No,Pubs and bars,All Modes,2010,61,Noodles
81,Fresh Restaurant,Lucknow,Aliganj,"South Indian, Desserts",Food Court,Luxury (₹2000+),4102,4.5,2345,Yes,No,No,Dine-out,All Modes,2007,66,Sushi
82,Urban Kitchen,Ahmedabad,Maninagar,"Mediterranean, South Indian",Dhaba,Luxury (₹2000+),2405,4.9,3081,Yes,Yes,Yes,Desserts,UPI,2009,45,Biryani
83,Little Point,Chennai,Tambaram,"Continental, Desserts",Buffet,Luxury (₹2000+),3180,3.1,1234,Yes,Yes,Yes,Dine-out,UPI,2008,22,Dosa
84,Spice Bistro,Kolkata,Howrah,"Seafood, Bakery",Casual Dining,Luxury (₹2000+),3706,3.2,22,Yes,No,Yes,Dine-out,Cash,2021,102,Butter Chicken
85,New Point,Jaipur,MI Road,"Seafood, South Indian",Dhaba,Moderate (₹500-1000),875,3.4,563,Yes,No,Yes,Delivery,UPI,2009,21,Burger
86,Fresh Bar,Jaipur,Tonk Road,"Mughlai, Seafood",Buffet,Affordable (₹200-500),350,4.4,3759,Yes,Yes,No,Delivery,UPI,2014,141,Pasta
87,Delhi Kitchen,Chandigarh,Mohali,"Fast Food, Sushi",Food Court,Budget (₹0-200),151,4.4,3589,Yes,No,Yes,Nightlife,Card,2020,187,Momos
88,Big Bistro,Pune,Viman Nagar,"Mediterranean, Chinese",Dhaba,Luxury (₹2000+),4468,3.3,665,Yes,No,Yes,Buffet,All Modes,2010,186,Momos
89,The Grill,Pune,Aundh,"Thai, Street Food",Delivery Only,Budget (₹0-200),195,3.5,4213,Yes,No,No,Desserts,All Modes,2006,0,Paneer Tikka
90,Big Bar,Delhi,Saket,"Thai, Mexican",Dhaba,Luxury (₹2000+),4350,4.1,3048,Yes,No,Yes,Dine-out,UPI,2017,90,Kebabs
91,Spice Kitchen,Chennai,Velachery,"Mughlai, Desserts",Bar & Restaurant,Premium (₹1000-2000),1938,4.2,1767,Yes,No,Yes,Dine-out,Cash,2009,28,Momos
92,Spice Garden,Bangalore,Hebbal,"Sushi, Mexican",Fine Dining,Luxury (₹2000+),2823,4.2,1436,Yes,No,Yes,Desserts,Card,2012,136,Biryani
93,Old Garden,Pune,Shivajinagar,"Cafe, Continental",Bakery,Budget (₹0-200),167,4.9,3931,Yes,No,Yes,Delivery,Card,2015,174,Butter Chicken
94,Grand Palace,Ahmedabad,Prahlad Nagar,"Thai, Continental",Bar & Restaurant,Luxury (₹2000+),2674,3.7,463,Yes,Yes,Yes,Dine-out,UPI,2012,98,Chole Bhature
95,Fresh Bistro,Kochi,Fort Kochi,"Pizza, Fast Food",Bar & Restaurant,Moderate (₹500-1000),803,4.0,775,Yes,No,Yes,Dine-out,Card,2015,154,Biryani
96,Spice Kitchen,Chandigarh,Sector 17,"Bakery, Pizza",Cafe,Luxury (₹2000+),4805,2.6,4479,No,No,No,Cafes,UPI,2019,28,Tandoori
97,Old Hub,Mumbai,Juhu,"Seafood, Street Food",Cafe,Moderate (₹500-1000),889,3.3,2839,Yes,No,No,Pubs and bars,Cash,2015,71,Momos
98,Old Dhaba,Delhi,Dwarka,"Continental, Italian",Casual Dining,Moderate (₹500-1000),869,3.1,1318,No,No,Yes,Desserts,Card,2020,141,Momos
99,Old Kitchen,Ahmedabad,Bopal,"Chinese, Mediterranean",Bar & Restaurant,Premium (₹1000-2000),1903,3.3,424,Yes,Yes,No,Buffet,All Modes,2014,147,Biryani
100,New Cafe,Chandigarh,Sector 22,"Pizza, Mexican",Dhaba,Moderate (₹500-1000),647,3.9,1604,Yes,No,Yes,Pubs and bars,All Modes,2022,81,Sushi
101,Royal Bistro,Lucknow,Gomti Nagar,"Mexican, Thai",Food Court,Luxury (₹2000+),2561,3.9,3298,Yes,Yes,Yes,Buffet,UPI,2020,142,Momos
102,Mumbai Bites,Bangalore,Whitefield,"Bengali, Sushi",Quick Bites,Premium (₹1000-2000),1576,3.7,4185,Yes,No,Yes,Cafes,Cash,2016,94,Kebabs
103,Modern Restaurant,Delhi,Pitampura,"North Indian, Desserts",Delivery Only,Luxury (₹2000+),4788,3.9,1406,Yes,No,Yes,Dine-out,Cash,2023,0,Tandoori
104,The House,Delhi,Saket,"Sushi, Street Food",Quick Bites,Premium (₹1000-2000),1141,4.4,3873,Yes,No,No,Dine-out,UPI,2020,144,Pasta
105,Old Bites,Pune,Baner,"Cafe, Sushi",Bar & Restaurant,Moderate (₹500-1000),652,3.0,2029,Yes,No,Yes,Desserts,UPI,2011,186,Tandoori
106,Old Corner,Ahmedabad,Maninagar,"Cafe, Pizza",Delivery Only,Budget (₹0-200),137,4.8,1209,No,No,Yes,Delivery,UPI,2019,0,Kebabs
107,Golden Dhaba,Chennai,Tambaram,"Cafe, Pizza",Bar & Restaurant,Moderate (₹500-1000),842,4.3,1970,Yes,Yes,No,Dine-out,Card,2006,35,Pasta
108,Spice Bar,Pune,Aundh,"Continental, North Indian",Bar & Restaurant,Affordable (₹200-500),347,3.6,1643,No,No,Yes,Delivery,Cash,2023,69,Chole Bhature
109,Urban Bites,Surat,Adajan,"Mughlai, Street Food",Quick Bites,Budget (₹0-200),104,4.7,2381,No,No,Yes,Delivery,UPI,2014,126,Kebabs
110,Urban Cafe,Jaipur,Sanganer,"Desserts, Street Food",Delivery Only,Affordable (₹200-500),295,4.3,2117,Yes,No,Yes,Desserts,UPI,2023,0,Kebabs
111,Royal Lounge,Indore,Bhanwarkuan,"Mexican, Street Food",Bar & Restaurant,Moderate (₹500-1000),979,2.7,1161,Yes,No,No,Nightlife,All Modes,2012,124,Noodles
112,Delhi Lounge,Chennai,Nungambakkam,"Bakery, North Indian",Delivery Only,Moderate (₹500-1000),851,2.8,2523,Yes,Yes,No,Desserts,UPI,2008,0,Kebabs
113,Mumbai Lounge,Kochi,Fort Kochi,"Biryani, Pizza",Quick Bites,Premium (₹1000-2000),1482,4.9,3070,Yes,No,No,Desserts,Card,2012,184,Noodles
114,Classic House,Lucknow,Gomti Nagar,"Desserts, Thai",Fine Dining,Luxury (₹2000+),3343,4.7,1666,Yes,Yes,No,Desserts,All Modes,2008,184,Dosa
115,Spice Bites,Surat,Rander,"Desserts, Street Food",Casual Dining,Premium (₹1000-2000),1826,3.6,482,Yes,No,Yes,Buffet,Cash,2017,75,Sushi
116,Modern Bistro,Mumbai,Colaba,"South Indian, Street Food",Food Court,Budget (₹0-200),123,2.6,3359,Yes,Yes,Yes,Buffet,All Modes,2016,107,Momos
117,New Bistro,Chandigarh,Panchkula,"Cafe, Continental",Food Court,Budget (₹0-200),100,3.8,1834,Yes,No,Yes,Buffet,All Modes,2022,107,Sushi
118,Old Corner,Hyderabad,Gachibowli,"Continental, Burger",Cafe,Budget (₹0-200),130,4.0,138,Yes,No,Yes,Delivery,All Modes,2006,72,Tandoori
119,Old Dhaba,Mumbai,Worli,"Cafe, Fast Food",Casual Dining,Affordable (₹200-500),364,3.9,4740,Yes,Yes,No,Buffet,Card,2018,86,Pizza
120,Grand Bar,Mumbai,Juhu,"Mediterranean, Bakery",Buffet,Budget (₹0-200),140,3.4,4306,Yes,No,No,Cafes,Card,2022,131,Dosa
121,Delhi Point,Chandigarh,Sector 8,"Continental, Seafood",Casual Dining,Luxury (₹2000+),4648,3.8,3191,No,No,No,Delivery,All Modes,2016,33,Chole Bhature
122,The Restaurant,Surat,Citylight,"Mexican, South Indian",Fine Dining,Affordable (₹200-500),207,4.6,2737,Yes,No,Yes,Buffet,Cash,2020,72,Tandoori
123,New Bites,Lucknow,Indira Nagar,"Biryani, Bakery",Food Court,Moderate (₹500-1000),762,4.1,2536,No,No,No,Cafes,Cash,2020,91,Tacos
124,Mumbai Hub,Hyderabad,Kukatpally,"South Indian, Bengali",Cafe,Affordable (₹200-500),413,4.7,4754,Yes,No,No,Nightlife,Card,2017,155,Sushi
